id_leggo,interesse,nome_interesse,apelido,keywords,tema,tema_slug,advocacy_link,tipo_agenda,descricao_interesse
1dbe81661ce54b39de6507dabaa33349,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
9511c12aa1c6f2247268a1f9f25c4359,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
6a38b246ad96596e6a94a33eba950454,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
3bc9b55d6083754826999a7e15ff5344,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
728e3259f5fc67358b5af336cf70c81e,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
1936af28823a0817e771380dfacce78d,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
502981994eea39cc5219deed51de3b53,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
a515a252e0c1b3ff6e301372ad6618d3,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
91230886ffed18167c50e71962e393c0,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
9ca5de5742dc7d9b0a3a2642ab18ee6e,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
4ee4f8ef2d5c6158f551268de50b3e5c,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
d6f2efe0b9a93f4f74332a982a090e09,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
a8171713efe896f451c6f2c8729d2683,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
713ca8ed8c3258690cad718b9544366e,painel,Proposições,NA,NA,Indígenas,indigenas,NA,NA,Lista de proposições
4cbe7d4e6fb481207dd9529dde0ae6f8,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
617bfc397871ddac7a06400c51e43b50,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
4fc4df4b9dfd1736231dea9a6f35acf7,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
afb2c0b14ca5f287a443e576c1ae25a8,painel,Proposições,NA,NA,Indígenas,indigenas,NA,NA,Lista de proposições
234f33c2f5d2cd76d8dec24b3572a36d,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
c7579353cc58eebc84297830213b2383,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
3f7eab720eb21413985b71742fa82228,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
2d4c562a3fdb14ef5b0fbd4e1718ab21,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
ca0402c3cf999f747dfafae362de9141,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
ec5b4e053246060881812586d25755ad,painel,Proposições,NA,NA,Indígenas,indigenas,NA,NA,Lista de proposições
b04a0b2cba942b72902e03a7c1ff457c,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
d86aa2eb6e79f844c0e3b9719c75a062,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
787b90cdbc371525728eb762d5eef6b4,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
558afde1d19415eca8b1cdae6e641693,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
22aa18f33a3fff84340a32a1ad07b221,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
1a1991f77234dbae849873b31df0919d,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
967b8a10cd3d6916f3c4c1e79c169c30,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
d4faeba0011faa69ab56039b36ee16fa,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
150d97a9d33b8b7eac9796179c325721,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
ea2f2a742e6a30b9ef3476eb883cee96,painel,Proposições,NA,NA,Amazônia,amazonia,NA,NA,Lista de proposições
546a5b42da946d846c760f4c12de5316,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
fe86593bbebdfc98a2af57e3b243b334,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
d981938d42422df64b07ed0652cee63a,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
2fc709eaeb4ca650831bcc8406990582,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
04c04c3ee0b61e9f7a4564025c3f0b85,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
28a9ff8ecab1eed465c1d2355925ece4,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
7e43c009872e194c5b1221e32cc4aa20,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
01ea98edfa16ee97ada6ca6056a75f0a,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
7c60c15853aef3104b97293007c5d07e,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
d483992b49eecf0734b983ede7367cf5,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
96ebf5c6575064cc6476badcff1bc70b,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
e2e1e3b8a1599732f86dacbf1ab4226c,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
a4a3f5be1fb8872820020a9167fe20a1,painel,Proposições,NA,NA,Amazônia,amazonia,NA,NA,Lista de proposições
70ba0f482c74bc05d63770b56832a2d6,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
69ce86e60371e2a75e38223f04517519,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
a6f79d5a7f40a92a8dfcb36ac32b8937,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
c85f1dfeeebb0ebb62ab7f1650d3250a,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
ca11450eb2f242734de96fc04388dac1,painel,Proposições,NA,NA,Amazônia,amazonia,NA,NA,Lista de proposições
3d9ecda7fc40bfcde242f04dcea20568,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
48cca1329977c5db416a1dc116da638a,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
a7d63882b21f262c4aefdca4c9298b20,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
287f4852b0ce051c6783429ed4060dd8,painel,Proposições,NA,NA,Indígenas,indigenas,NA,NA,Lista de proposições
b663e98d91ebbd27f109830aefc9ac41,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
274a7798ff43d2699b1b9c5d3b34ee9d,painel,Proposições,NA,NA,Indígenas,indigenas,NA,NA,Lista de proposições
e78aab05a10d710886691c8ff19f81e4,painel,Proposições,NA,NA,Indígenas,indigenas,NA,NA,Lista de proposições
c3d2c81ea769ce4bdb8486ede6fdb663,painel,Proposições,NA,NA,Indígenas,indigenas,NA,NA,Lista de proposições
529c280eae5cf7593df4bb05f40ca70d,painel,Proposições,NA,NA,Mineração,mineracao,NA,NA,Lista de proposições
3c18b2407ec13aa8c0ff4290506b5822,painel,Proposições,NA,NA,Indígenas,indigenas,NA,NA,Lista de proposições
356d73e720dbbf019086505f783b6769,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
9c4bb6cced1e36a645164df0f3b6b1f2,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
330f394d2388250c763c3ab946fb4daf,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
d51394bb3a19ddf90e0a97d5505dce33,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
0a6b435a3120d1427dcf1660980e8bc4,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
a175c8bda7e2631cc1e9736d566c123a,painel,Proposições,NA,NA,Indígenas,indigenas,NA,NA,Lista de proposições
e4aad2327720ccbf7c8250365a1b16ff,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
6451fa03d28215f7c2f0022958ce052a,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
529f5b79017039276e19442b56fb302d,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
91221c629c992a78527e99ad35f6f06b,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
01c3291306586541b3164eaede8d2af1,painel,Proposições,NA,NA,Mineração,mineracao,NA,NA,Lista de proposições
4624637b5449a680e9be8323d3cbb893,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
e00ef975d50210be7ff9805603aeb41d,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
ba0b849ce32b284a0a66635f6e9000c4,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
690d61f97d075c34fcd0101f0a2a2de0,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
448ddc5d46e9a57f145b1e647e855a8b,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
d58c2aab8a7e082e0119b98a41325fdb,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
aeb768986dc22309b70e545e159f21a1,painel,Proposições,NA,NA,Mineração,mineracao,NA,NA,Lista de proposições
105d049d2d0158d0638cac84ae30ea6f,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
beb2f62ea67cd377a8f4cdb343d5377c,painel,Proposições,NA,NA,Mineração,mineracao,NA,NA,Lista de proposições
eeb1b31085f6cb74ccf98f08691864e5,painel,Proposições,NA,NA,Mineração,mineracao,NA,NA,Lista de proposições
ac53697f4326dbc437b7e5047c3f666b,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
95a3ca957f9109c578c17f6a23a471e1,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
6d4bd96c8a8dffe066718503d82ec4a0,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
f9ac0741cab86990c55e18dc7e39b779,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
2c17f65918903db5527e3438f65218f2,painel,Proposições,NA,NA,Mineração,mineracao,NA,NA,Lista de proposições
9739dc68f513d3b8a87475f959f2346d,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
f02ad43ae0a52cbb1ee67d53495d6ca9,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
b6f8ea6fded600805318c386a51d2c72,painel,Proposições,NA,NA,Mineração,mineracao,NA,NA,Lista de proposições
f384236c5aaab0662af3fa08076c3069,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
a4ff6977f787ecab1deacc52fa2e9bba,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
c24b8b200550424de77ad6c4ee695544,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
ca3d840ebbc9882368ab514b5ca402b9,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
66723029bbd75a962c71ca8ee7730fe9,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
444df3df507f78ab1e222d379afb484f,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
0ac1d9953e5610e8bc6b8f5439318658,painel,Proposições,NA,NA,Outros,outros,NA,NA,Lista de proposições
76f22462d789f1efdef980b4161602a7,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
8cbc918af52f861ce4860405e0cbbb54,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
f5c69f40da5fbc0034542cd58d106732,painel,Proposições,NA,NA,Agropecuária,agropecuaria,NA,NA,Lista de proposições
de9fccd50224c440863cba4f5acb4e6e,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
40f6bd930b777bfe979231fc48dded07,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
de1feaba6ef76577fb80a7cbc7aa452f,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
9c581eea6c5862113234baa0372bc44c,painel,Proposições,NA,NA,Meio Ambiente,meio-ambiente,NA,NA,Lista de proposições
